integrateCrit
    Result	       Time	 Acceleration
  0.666667	  0.0356022	    10.0295
  0.666667	  0.0323891	    11.0245
  0.666667	  0.0297097	    12.0187
  0.666667	  0.0481231	    7.41999
  0.666667	  0.0509495	    7.00836
  0.666667	    0.04755	    7.50942
  0.666667	   0.044566	    8.01222
  0.666667	  0.0419674	    8.50834
  0.666667	  0.0395975	    9.01756
  0.666667	  0.0375064	    9.52032
  0.666667	  0.0356265	    10.0227
  0.666667	  0.0339441	    10.5194
  0.666667	  0.0324013	    11.0203
  0.666667	  0.0309897	    11.5223
  0.666667	   0.029712	    12.0178

integratePS
    Result	       Time	 Acceleration
  0.666667	   0.621525	         1
  0.666667	   0.310096	     2.0043
  0.666667	   0.206761	    3.00601
  0.666667	   0.155086	    4.00761
  0.666667	   0.124126	    5.00722
  0.666667	   0.103575	     6.0007
  0.666667	     0.0937	    6.63314
  0.666667	  0.0777276	     7.9962
  0.666667	  0.0691361	    8.98988
  0.666667	  0.0657078	    9.45892
  0.666667	  0.0566497	    10.9714
  0.666667	  0.0519542	    11.9629
  0.666667	  0.0854113	    7.27685
  0.666667	  0.0882273	    7.04459
  0.666667	  0.0823791	    7.54469
  0.666667	  0.0772845	    8.04204
  0.666667	  0.0727655	    8.54148
  0.666667	  0.0687667	    9.03818
  0.666667	  0.0657418	    9.45403
  0.666667	  0.0631496	    9.84211
  0.666667	  0.0598262	    10.3888
  0.666667	  0.0573797	    10.8318
  0.666667	  0.0544187	    11.4212
  0.666667	  0.0528698	    11.7558

integrateAtomic
    Result	       Time	 Acceleration
  0.666667	   0.402994	         1
  0.666667	   0.201617	    1.99881
  0.666667	   0.134371	    2.99911
  0.666667	   0.100797	    3.99808
  0.666667	  0.0806577	    4.99635
  0.666667	  0.0672635	    5.99128
  0.666667	   0.057774	    6.97535
  0.666667	   0.050587	    7.96635
  0.666667	   0.044997	    8.95602
  0.666667	  0.0405513	    9.93788
  0.666667	  0.0369204	    10.9152
  0.666667	  0.0338717	    11.8977
  0.666667	  0.0559432	    7.20363
  0.666667	   0.059486	     6.7746
  0.666667	  0.0555292	    7.25734
  0.666667	   0.052055	     7.7417
  0.666667	  0.0491831	    8.19375
  0.666667	  0.0463563	     8.6934
  0.666667	  0.0439773	    9.16369
  0.666667	  0.0418904	    9.62021
  0.666667	  0.0398444	    10.1142
  0.666667	  0.0380635	    10.5874
  0.666667	  0.0364591	    11.0533
  0.666667	  0.0349741	    11.5226

randomize single
    Result	       Time	 Acceleration
   128.023	  0.0111016	         1
   128.023	  0.0111359	    0.99692
   128.023	  0.0110838	     1.0016
   128.023	  0.0110936	    1.00072
   128.023	  0.0111162	   0.998687
   128.023	  0.0111328	   0.997196
   128.023	  0.0110726	    1.00262
   128.023	  0.0110768	    1.00224
   128.023	  0.0112371	   0.987939
   128.023	  0.0110993	    1.00021
   128.023	  0.0110891	    1.00112
   128.023	  0.0110746	    1.00244
   128.023	  0.0110872	    1.00129
   128.023	  0.0111564	   0.995085
   128.023	  0.0111415	   0.996415
   128.023	  0.0110771	    1.00221
   128.023	  0.0110712	    1.00274
   128.023	  0.0111149	   0.998798
   128.023	  0.0111697	   0.993904
   128.023	   0.011083	    1.00168
   128.023	  0.0110618	     1.0036
   128.023	  0.0110874	    1.00128
   128.023	  0.0110791	    1.00202
   128.023	  0.0110896	    1.00108

randomize with false sharing
    Result	       Time	 Acceleration
   128.023	  0.0126657	         1
   128.023	 0.00786681	    1.61002
   128.023	 0.00603353	    2.09923
   128.023	 0.00520774	     2.4321
   128.023	 0.00469953	    2.69511
   128.023	 0.00442598	    2.86168
   128.023	 0.00424479	    2.98383
   128.023	 0.00426352	    2.97072
   128.023	 0.00413481	     3.0632
   128.023	 0.00421226	    3.00687
   128.023	 0.00467743	    2.70784
   128.023	 0.00632355	    2.00295
   128.023	 0.00513113	    2.46841
   128.023	 0.00383764	     3.3004
   128.023	 0.00401694	    3.15308
   128.023	 0.00440227	    2.87709
   128.023	 0.00371719	    3.40735
   128.023	 0.00377545	    3.35476
   128.023	 0.00348177	    3.63773
   128.023	 0.00346242	    3.65806
   128.023	 0.00346926	    3.65085
   128.023	 0.00342751	    3.69532
   128.023	 0.00381975	    3.31585
   128.023	 0.00340335	    3.72155

randomize without false sharing
    Result	       Time	 Acceleration
   128.023	  0.0136923	         1
   128.023	 0.00801645	    1.70803
   128.023	 0.00606703	    2.25684
   128.023	 0.00524547	    2.61032
   128.023	 0.00485176	    2.82213
   128.023	 0.00441302	    3.10271
   128.023	 0.00425249	    3.21984
   128.023	 0.00403708	    3.39164
   128.023	 0.00383635	     3.5691
   128.023	 0.00379071	    3.61207
   128.023	  0.0036791	    3.72165
   128.023	 0.00359255	    3.81131
   128.023	 0.00371471	    3.68597
   128.023	 0.00362868	    3.77336
   128.023	 0.00357136	    3.83392
   128.023	 0.00352913	    3.87979
   128.023	 0.00344785	    3.97126
   128.023	  0.0033968	    4.03095
